,,,,,,,,
Field Number,Field Name,ANSI Standard Data Type,SQL Server Data Type,Precision,Scale,Length,Empty Values,Definition
72,SR_LNDR_FIRST_NAME_2,character varying,varchar,30,,30,Yes,"If the lender is a company, indicates the complete lender name for the loan represented by SR_LOAN_VAL_2 field on the transaction.  If the lender is an individual, indicates the lender first name for the loan represented by SR_LOAN_VAL_2 field on the transaction"
73,SR_LNDR_LAST_NAME_2,character varying,varchar,25,,25,Yes,"If the lender is an individual, indicates the lender last name for the loan represented by SR_LOAN_VAL_2 field on the transaction"
74,SR_LENDER_TYPE_2,character varying,varchar,1,,1,Yes,The lender type for the concurrent second loan.  
75,SR_TD_DOC_NBR_3,character varying,varchar,20,,20,Yes,Contains the loan instrument or book/page number stamped or printed on the third sequence trust deed that is recorded with the transaction
76,SR_LOAN_ID_3,character varying,varchar,20,,20,Yes,"The loan identification number (Lender DOC ID) as present on the deed of trust, for the loan represented by SR_LOAN_VAL_3 field on the transaction"
77,SR_LOAN_ID_3_EXT,character varying,varchar,10,,10,Yes,"The lender loan identifier extension (typically agent id) as present on the deed of trust, for the loan represented by SR_LOAN_VAL_3 field on the transaction. This is usually the agent or the mortgage company branch ID"
78,SR_LOAN_VAL_3,integer,int,10,0,12,Yes,"Indicates the loan amount, as present on the deed of trust, for the loan represented by SR_TD_DOC_NBR_3 field on the transaction"
79,SR_LOAN_TYPE_3,character varying,varchar,1,,1,Yes,"Indicates the loan type, as present on the deed of trust, for the loan represented by SR_LOAN_VAL_3 field on the transaction"
80,SR_INT_RATE_TYPE_3,character varying,varchar,1,,1,Yes,Indicates the type of interest for the concurrent loan in the transactionrepresented by SR_LOAN_VAL_3 and SR_TD_DOC_NBR_3
81,SR_LNDR_CODE_3,integer,int,10,0,12,Yes,"Contains the DQ standard id code identifying the Lender/Beneficiary, for the loan represented by SR_LOAN_VAL_3"
82,SR_LNDR_CREDIT_LINE_3,character varying,varchar,1,,1,Yes,"Indicates the trust deed in the transaction, represented by SR_LOAN_VAL_3 and SR_TD_DOC_NBR_3, contains wording reflecting this loan as a line of credit wherein the subject property is trusted as collateral"
83,SR_LNDR_FIRST_NAME_3,character varying,varchar,30,,30,Yes,"If the lender is a company, indicates the complete lender name for the loan represented by SR_LOAN_VAL_3 field on the transaction.  If the lender is an individual, indicates the lender first name for the loan represented by SR_LOAN_VAL_3 field on the transaction"
84,SR_LNDR_LAST_NAME_3,character varying,varchar,25,,25,Yes,"If the lender is an individual, indicates the lender last name for the loan represented by SR_LOAN_VAL_3 field on the transaction"
85,SR_LENDER_TYPE_3,character varying,varchar,1,,1,Yes,The lender type for the concurrent third loan.  
86,DISTRESS_INDICATOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,character varying                                                                                   ,varchar                                                                                             ,1,     ,1,Yes,Indicates that a particular transaction is part of a series of distress events.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
87,PROCESS_ID,integer,int,10,0,12,No,"Process sequence number.  Used to determine the order in which data was written to the DataQuick Data Repositroy.  The larger the number, the more recent the data."
88,FILLER,character varying,varchar,2,,2,,Indicates filler.  
,CR-LF,,varchar,2,,2,,Row Terminator
,Total,,,,,1530,,
